Artifact Creator | Model Run | Log | ENTROPY_PRECISION | MODEL_EDGE_COUNT | TRACE_RATIO_GOWER_3 | STRUCTURAL_SIMPLICITY_EDGE_COUNT | TRACE_PROBMASS_OVERLAP | TRACE_RATIO_GOWER_2 | EARTH_MOVERS_LIGHT_COVERAGE | LOG_TRACE_COUNT | ENTROPY_RECALL | EARTH_MOVERS_TRACEWISE | STRUCTURAL_SIMPLICITY_ENTITY_COUNT | TRACE_RATIO_GOWER_4 | TRACE_OVERLAP_RATIO | TRACE_GENERALIZATION_FLOOR_1 | TRACE_GENERALIZATION_DIFF_UNIQ | MODEL_ENTITY_COUNT | EVENT_RATIO_GOWER | TRACE_GENERALIZATION_FLOOR_10 | STRUCTURAL_SIMPLICITY_STOCHASTIC | LOG_EVENT_COUNT | ENTROPY_FITNESS_TRACEWISE | ENTROPY_PRECISION_TRACEWISE | TRACE_GENERALIZATION_FLOOR_5 | Run file | Machine | 
rando-s1 | rando-s1m5 | BPIC2013 closed |      | 252.0 | 0.0955285174921833 | 0.0 | 0.0 | 0.10542843234920662 |      |      |      | -1.9984014443252818E-15 | 0.0 | 0.029079779104867608 | 0.0 | 0.0 | 0.0 | 196.0 | 0.348205725808193 | 0.0 | 0.0 |      | -0.0 | -0.0 | 0.0 | mrun_BPIC2013_closed_rando-s1_20210624-110900.xml | cl4n034.ib0.hpc.qut.edu.au | 
rando-s1 | rando-s1m6 | BPIC2013 closed |      | 386.0 | 0.07422080759278757 | 0.0 | 0.0 | 0.11398884736408697 |      |      |      | -1.9984014443252818E-15 | 0.0 | 0.0321464455055183 | 0.0 | 0.0 | 0.0 | 317.0 | 0.430542868062435 | 0.0 | 0.0 |      | -0.0 | -0.0 | 0.0 | mrun_BPIC2013_closed_rando-s1_20210624-110900.xml | cl4n034.ib0.hpc.qut.edu.au | 
rando-s1 | rando-s1m7 | BPIC2013 closed |      | 276.0 | 0.11105360811088037 | 0.0 | 0.0 | 0.12241284648174167 |      |      |      | -1.9984014443252818E-15 | 0.0 | 0.042539410237632934 | 0.0 | 0.0 | 0.0 | 218.0 | 0.3736503289411942 | 0.0 | 0.0 |      | -0.0 | -0.0 | 0.0 | mrun_BPIC2013_closed_rando-s1_20210624-110900.xml | cl4n034.ib0.hpc.qut.edu.au | 
rando-s1 | rando-s1m8 | BPIC2013 closed |      | 498.0 | 0.05275181806935598 | 0.0 | 6.724949562878278E-4 | 0.09147421831468941 |      |      |      | 6.724949562859628E-4 | 0.0 | 0.014067115568309007 | 6.724949562878278E-4 | 6.724949562878278E-4 | 0.0 | 403.0 | 0.4043526977777458 | 0.0 | 0.0 |      | 0.0016871452518519108 | 7.264849601182208E-4 | 0.0 | mrun_BPIC2013_closed_rando-s1_20210624-110900.xml | cl4n034.ib0.hpc.qut.edu.au | 
rando-s1 | rando-s1m9 | BPIC2013 closed |      | 236.0 | 0.07533374421152436 | 0.0 | 6.724949562878278E-4 | 0.1355639955513028 |      |      |      | 6.724949562865179E-4 | 0.032786885245901676 | 0.037267971175535396 | 6.724949562878278E-4 | 6.724949562878278E-4 | 0.0 | 177.0 | 0.5337625879637469 | 0.0 | 0.0 |      | 0.0016871452518519108 | 0.0010346169772086442 | 0.0 | mrun_BPIC2013_closed_rando-s1_20210624-110900.xml | cl4n034.ib0.hpc.qut.edu.au | 
rando-s1 | rando-s1m10 | BPIC2013 closed |      | 282.0 | 0.096382573311573 | 0.0 | 0.0013449899125756557 | 0.10703067566429629 |      |      |      | 0.001344989912573813 | 0.0 | 0.06148348143169446 | 0.0013449899125756557 | 0.15534633490248823 | 0.0 | 220.0 | 0.2737901700704991 | 0.1546738399462004 | 0.0 |      | 0.0033742905037038215 | 0.001553372978066987 | 0.1546738399462004 | mrun_BPIC2013_closed_rando-s1_20210624-110900.xml | cl4n034.ib0.hpc.qut.edu.au | 
rando-s1 | rando-s1m11 | BPIC2013 closed |      | 276.0 | 0.09211580543995739 | 0.0 | 0.0 | 0.14919267427749894 |      |      |      | -1.9984014443252818E-15 | 0.0 | 0.038298587558296605 | 0.0 | 0.0 | 0.0 | 207.0 | 0.38766418698659744 | 0.0 | 0.0 |      | -0.0 | -0.0 | 0.0 | mrun_BPIC2013_closed_rando-s1_20210624-110900.xml | cl4n034.ib0.hpc.qut.edu.au | 
rando-s1 | rando-s1m12 | BPIC2013 closed |      | 502.0 | 0.08866458473188256 | 0.0 | 0.0 | 0.14443949618738655 |      |      |      | -1.9984014443252818E-15 | 0.0 | 0.03344867145187027 | 0.0 | 0.0 | 0.0 | 409.0 | 0.490829695577242 | 0.0 | 0.0 |      | -0.0 | -0.0 | 0.0 | mrun_BPIC2013_closed_rando-s1_20210624-110900.xml | cl4n034.ib0.hpc.qut.edu.au | 
rando-s1 | rando-s1m13 | BPIC2013 closed |      | 764.0 | 0.11616504061534236 | 0.0 | 0.0 | 0.16136555698644017 |      |      |      | -1.3322676295501878E-15 | 0.0 | 0.06679191986964594 | 0.0 | 0.0 | 0.0 | 605.0 | 0.47002261545727864 | 0.0 | 0.0 |      | -0.0 | -0.0 | 0.0 | mrun_BPIC2013_closed_rando-s1_20210624-110900.xml | cl4n034.ib0.hpc.qut.edu.au | 
rando-s1 | rando-s1m14 | BPIC2013 closed |      | 414.0 | 0.10648277788187673 | 0.0 | 6.724949562878278E-4 | 0.15142279575817372 |      |      |      | 6.724949562852967E-4 | 0.0 | 0.0446486998651738 | 6.724949562878278E-4 | 6.724949562878278E-4 | 0.0 | 327.0 | 0.5257154021539645 | 0.0 | 0.0 |      | 0.0016871452518519108 | 6.815480018524519E-4 | 0.0 | mrun_BPIC2013_closed_rando-s1_20210624-110900.xml | cl4n034.ib0.hpc.qut.edu.au | 
rando-s1 | rando-s1m15 | BPIC2013 closed |      | 1102.0 | 0.08637474617815617 | 0.0 | 0.0 | 0.10973267123552262 |      |      |      | -2.6645352591003757E-15 | 0.0 | 0.04676805651827169 | 0.0 | 0.0 | 0.0 | 861.0 | 0.40172228776289337 | 0.0 | 0.0 |      | -0.0 | -0.0 | 0.0 | mrun_BPIC2013_closed_rando-s1_20210624-110900.xml | cl4n034.ib0.hpc.qut.edu.au | 
rando-s1 | rando-s1m16 | BPIC2013 closed |      | 822.0 | 0.07415215882559045 | 0.0 | 0.0 | 0.126741568059844 |      |      |      | -2.6645352591003757E-15 | 0.0 | 0.03400553197112756 | 0.0 | 0.0 | 0.0 | 658.0 | 0.41842115759566245 | 0.0 | 0.0 |      | -0.0 | -0.0 | 0.0 | mrun_BPIC2013_closed_rando-s1_20210624-110900.xml | cl4n034.ib0.hpc.qut.edu.au | 
rando-s1 | rando-s1m17 | BPIC2013 closed |      | 1320.0 | 0.06116984174187784 | 0.0 | 6.724949562878278E-4 | 0.09941582552784398 |      |      |      | 6.724949562852967E-4 | 0.0 | 0.03955125000586401 | 6.724949562878278E-4 | 6.724949562878278E-4 | 0.0 | 1065.0 | 0.4254162622178246 | 0.0 | 0.0 |      | 0.0016871452518519108 | 6.820050869765194E-4 | 0.0 | mrun_BPIC2013_closed_rando-s1_20210624-110900.xml | cl4n034.ib0.hpc.qut.edu.au | 
rando-s1 | rando-s1m18 | BPIC2013 closed |      | 42.0 | 0.05993398923876466 | 0.7704918032786885 | 0.0 | 0.1434993484950457 |      |      |      | -1.3322676295501878E-15 | 0.8032786885245902 | 0.03607765332331699 | 0.0 | 0.0 | 0.0 | 36.0 | 0.3441110407757194 | 0.0 | 0.5519125683060109 |      | -0.0 | -0.0 | 0.0 | mrun_BPIC2013_closed_rando-s1_20210624-110900.xml | cl4n034.ib0.hpc.qut.edu.au | 
rando-s1 | rando-s1m19 | BPIC2013 closed |      | 10.0 | 0.0 | 0.9453551912568307 | 6.724949562878278E-4 | 0.0 |      |      |      | 6.724949562848526E-4 | 0.9562841530054644 | 0.0 | 6.724949562878278E-4 | 6.724949562878278E-4 | 0.0 | 8.0 | 0.46771374023343015 | 0.0 | 0.8852459016393442 |      | 0.0016871452518519108 | 0.0035434411873451113 | 0.0 | mrun_BPIC2013_closed_rando-s1_20210624-110900.xml | cl4n034.ib0.hpc.qut.edu.au | 
rando-s1 | rando-s1m20 | BPIC2013 closed |      | 30.0 | 0.04425230913508432 | 0.8360655737704918 | 6.724949562878278E-4 | 0.17660619286768323 |      |      |      | 6.724949562848526E-4 | 0.8469945355191257 | 3.4529790576820225E-4 | 6.724949562878278E-4 | 6.724949562878278E-4 | 0.0 | 28.0 | 0.5839195978244209 | 0.0 | 0.6666666666666667 |      | 0.0016871452518519108 | 0.0035434411873451113 | 0.0 | mrun_BPIC2013_closed_rando-s1_20210624-110900.xml | cl4n034.ib0.hpc.qut.edu.au | 
rando-s1 | rando-s1m21 | BPIC2013 closed |      | 8.0 | 0.0 | 0.9562841530054644 | 6.724949562878278E-4 | 0.0 |      |      |      | 6.724949562848526E-4 | 0.9672131147540983 | 0.0 | 6.724949562878278E-4 | 6.724949562878278E-4 | 0.0 | 6.0 | 0.4670836143027869 | 0.0 | 0.907103825136612 |      | 0.0016871452518519108 | 0.0035434411873451113 | 0.0 | mrun_BPIC2013_closed_rando-s1_20210624-110900.xml | cl4n034.ib0.hpc.qut.edu.au | 
rando-s1 | rando-s1m22 | BPIC2013 closed |      | 24.0 | 0.06681541841540418 | 0.8688524590163934 | 6.724949562878278E-4 | 0.16469221872323028 |      |      |      | 6.724949562846305E-4 | 0.9016393442622951 | 0.021772205443737293 | 6.724949562878278E-4 | 6.724949562878278E-4 | 0.0 | 18.0 | 0.41027219014402944 | 0.0 | 0.7540983606557377 |      | 0.0016871452518519108 | 0.002255661947393715 | 0.0 | mrun_BPIC2013_closed_rando-s1_20210624-110900.xml | cl4n034.ib0.hpc.qut.edu.au | 
rando-s1 | rando-s1m23 | BPIC2013 closed |      | 52.0 | 0.05207818482612186 | 0.7158469945355191 | 0.0 | 0.22053809201936156 |      |      |      | -3.1086244689504383E-15 | 0.7650273224043715 | 0.008770992519231342 | 0.0 | 0.0 | 0.0 | 43.0 | 0.29120194093306717 | 0.0 | 0.45355191256830596 |      | -0.0 | -0.0 | 0.0 | mrun_BPIC2013_closed_rando-s1_20210624-110900.xml | cl4n034.ib0.hpc.qut.edu.au | 
